	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
EG10385	0.823654959	0.823499998	0.608607626	0.811757103	0.762760375	0.800985246	0.564263548	0.943742297	0.302289953	0.694935425	0.794475287	0.501573047	0.839907793	0.463280216	0.423401729	0.203242653	0.861131061	0.817417984	0.805337027	0.654513763
EG10386	0.785363239	0.857521129	0.686213377	0.828170495	0.764298257	0.809116523	0.657941385	0.883623567	0.340860354	0.79997067	0.347640851	0.689969965	0.279936826	0.59578212	0.525894529	0.431256615	0.229055098	0.315460318	0.388980402	0.480516513
EG10387	0.809628326	0.851795319	0.564604016	0.837542985	0.779083205	0.819905326	0.657613207	0.962866647	0.347527828	0.731685241	0.799558988	0.445914473	0.862128598	0.381782128	0.327629353	0.182681632	0.894446127	0.788331684	0.767615778	0.672581165
EG10388	0.778695828	0.824981697	0.696197187	0.812221489	0.728598252	0.830924338	0.736543331	0.88440811	0.599160275	0.813025815	0.378121068	0.250283059	0.27793727	0.280472791	0.277419771	0.336565402	0.314844387	0.263569539	0.214185015	0.2891641
EG10389	0.325049146	0.457017449	0.427492379	0.413921544	0.404852707	0.443344325	0.371471501	0.397803766	0.497709978	0.486685031	0.196405026	0.061892942	0.080401896	0.119581992	0.085863614	0.30584224	0.112238272	0.114391416	0.08063338	0.184972971
EG10391	0.21164936	0.149072495	0.268785228	0.240082639	0.16628253	0.132152901	0.126424462	0.170488318	0.203821992	0.148401316	0.151228816	0.225839356	0.135964456	0.104235646	0.123500238	0.139587665	0.140176981	0.290508432	0.144217255	0.186996953
EG10392	0.078417542	0.18444898	0.21809768	0.129763788	0.155741276	0.081848203	0.120804593	0.05298986	0.365993506	0.17940528	0.032066455	0.107884354	0.071458112	0.037948826	0.078823313	0.091421803	0.031852112	0.130443021	0.015722102	0.054866714
EG10393	0.053767741	0.081130668	0.206542076	0.045476067	0.089587903	0.065981025	0.04335124	0.051175039	0.028364567	0.032833315	0.22229456	0.662069288	0.447940675	0.241588859	0.30922899	0.219449142	0.371416756	0.504986077	0.402430976	0.228567487
EG10394	0.118538332	0.209492404	0.417740193	0.161448831	0.158657741	0.13636919	0.189832807	0.172430891	0.117472224	0.227204848	0.114730114	0.209373483	0.11635989	0.053636361	0.118605313	0.107886191	0.070178363	0.176404677	0.063015452	0.160524761
EG10395	0.988585151	0.64329528	0.152919154	0.757118966	0.872428604	0.491984117	0.619333718	0.973829734	0.100571283	0.163539181	0.321685659	0.771347628	0.730138971	0.509085479	0.342241595	0.02575023	0.697047279	0.548408352	0.83713588	0.298019604
EG10396	0.358628992	0.439171761	0.324328834	0.346575376	0.319166135	0.379336835	0.348268178	0.269877352	0.336312143	0.283371946	0.225579206	0.318151176	0.359799265	0.249721171	0.183520897	0.056728355	0.286357756	0.155933873	0.379926035	0.290455671
EG10398	0.669275249	0.504331871	0.424277782	0.611268171	0.653484239	0.600326669	0.527996474	0.699158851	0.345419846	0.406284669	0.334775912	0.026453324	0.089754515	0.147368014	0.277336068	0.803915512	0.031248259	0.21036816	0.031783822	0.244008241
EG10399	0.235976069	0.391118916	0.229611781	0.333735809	0.340527864	0.394397092	0.367501227	0.352440784	0.623921574	0.452458867	0.316654516	0.183958702	0.249758678	0.301907307	0.263499108	0.276757167	0.302687293	0.128166344	0.221385252	0.383262345
EG10400	0.989961824	0.683186687	0.33875277	0.737307877	0.92956229	0.604343237	0.663489936	0.981332658	0.073857903	0.253927569	0.399093775	0.854410017	0.819283891	0.586829054	0.544590605	0.029436481	0.760116975	0.507713983	0.87533247	0.340088499
EG10401	0.128830388	0.280016645	0.113592196	0.249883121	0.139893072	0.224957735	0.122368868	0.2630239	0.457644136	0.235482422	0.468877031	0.230627463	0.183058641	0.349332303	0.328858892	0.31007888	0.320124424	0.275634504	0.324240125	0.476528688
EG10402	0.439569092	0.336546492	0.693818481	0.388142806	0.478649099	0.330159007	0.390217857	0.321850385	0.270779592	0.293700825	0.240996525	0.652609965	0.422030783	0.193999226	0.294855965	0.257630916	0.446250471	0.343897325	0.368611055	0.232874617
EG10403	0.131423811	0.02826957	0.076839612	0.077659037	0.177451136	0.127345355	0.199133168	0.16984408	0.246960524	0.057235725	0.380343384	0.414860904	0.341904727	0.65146871	0.011087135	0.075257853	0.10546601	0.142823602	0.109372111	0.389698777
EG10404	0.337441549	0.040503752	0.392848089	0.281983347	0.387251878	0.347931146	0.507747001	0.47942648	0.637719572	0.183049642	0.344920891	0.467353741	0.412505495	0.706001885	0.010839529	0.062867883	0.085295315	0.114409733	0.106883399	0.373143402
EG10408	0.120579087	0.894534622	0.134397682	0.332822768	0.266205095	0.09449691	0.028658289	0.185738831	0.38426032	0.726676791	0.359793951	0.018598609	0.573492346	0.068231691	0.062793993	0.42859295	0.763977053	0.124566033	0.591284322	0.401738169
EG10412	0.995733339	0.839697851	0.707234717	0.94151184	0.962248986	0.84119853	0.886513774	0.991823391	0.251084148	0.673717399	0.486490969	0.532301177	0.475122396	0.622132936	0.525365057	0.089820992	0.541181525	0.462962277	0.498530678	0.499357069
EG10416	0.374958581	0.415587171	0.591865214	0.611550082	0.437985879	0.459174364	0.299726042	0.389991696	0.500939043	0.637200153	0.411694356	0.072230408	0.217094824	0.087077811	0.102116768	0.144983684	0.246120529	0.222891487	0.132674906	0.220420126
EG10417	0.994513312	0.879351059	0.620923216	0.918802266	0.960722283	0.833252612	0.875053967	0.991584155	0.450429461	0.553272114	0.220543801	0.88021394	0.847888434	0.602264012	0.361869777	0.000595	0.72862813	0.405470856	0.872241836	0.193353962
EG10420	0.224161634	0.192093495	0.590167827	0.362906788	0.076149795	0.149270641	0.093616836	0.068699882	0.157613374	0.436302679	0.328499335	0.199301107	0.210852761	0.129084133	0.201364102	0.136179878	0.186992133	0.18716715	0.064587928	0.164030563
EG10421	0.399918045	0.414639666	0.579355335	0.369354697	0.120151975	0.33513758	0.201112344	0.218840763	0.296496024	0.367839974	0.244957322	0.28158505	0.30953239	0.110234009	0.250230191	0.076049711	0.293334191	0.173047901	0.136031869	0.176649074
EG10423	0.477605361	0.351646159	0.35308766	0.433448992	0.321551613	0.391157811	0.356536954	0.384104759	0.261847176	0.301582017	0.330800585	0.32995707	0.233634873	0.315518758	0.296330198	0.303981797	0.367563337	0.280688101	0.358419144	0.378523234
EG10424	0.033631504	0.089678276	0.130473186	0.079232407	0.020201064	0.140422579	0.143355391	0.071084882	0.316510979	0.196175293	0.272959608	0.207702169	0.295447867	0.291767291	0.331666733	0.558869886	0.219259833	0.369528584	0.21349988	0.269619898
EG10427	0.491468885	0.449741682	0.476467451	0.478247849	0.614455968	0.405152268	0.485045868	0.331141369	0.346279007	0.439032433	0.206300681	0.306086637	0.247225478	0.122622864	0.143070969	0.354670034	0.276368324	0.292569707	0.215888139	0.258611038
EG10438	0.492092126	0.944284055	0.469887054	0.405414186	0.673876046	0.809394378	0.714433263	0.432321717	0.609095263	0.177961464	0.698797709	0.706209965	0.366127185	0.240390354	0.801690348	0.173483478	0.783451937	0.823500931	0.155761803	0.263535139
EG10440	0.358574732	0.446699158	0.304460813	0.436531526	0.519490253	0.472214244	0.326572134	0.415572512	0.179342951	0.353109822	0.356675874	0.825213973	0.780224829	0.569156462	0.335974746	0.027333931	0.699331148	0.598658642	0.822445103	0.373191587
EG10441	0.906883825	0.798955814	0.722878456	0.838880294	0.879132603	0.785998123	0.857555837	0.890711144	0.451338221	0.668860979	0.276130539	0.069473106	0.060485445	0.197089278	0.259811258	0.823657738	0.132274668	0.166761585	0.022597559	0.382779957
EG10452	0.713387919	0.905671884	0.534826908	0.797648991	0.662448738	0.803354274	0.500079301	0.927186941	0.21916905	0.800667925	0.929904557	0.347497349	0.77791604	0.373062665	0.337835691	0.181802775	0.949584055	0.960171661	0.78995209	0.666849631
EG10455	0.823838582	0.843463341	0.570867414	0.866046105	0.945030945	0.808711168	0.797345562	0.988184233	0.448469627	0.616223733	0.074399573	0.540256466	0.303481217	0.656969708	0.497229929	0.07203681	0.094254371	0.513592806	0.533171112	0.739399306
EG10456	0.766021813	0.592836365	0.731591588	0.536508724	0.780259573	0.592616991	0.669765036	0.648174152	0.26847096	0.538554008	0.734100866	0.536445605	0.811920165	0.819640081	0.759002235	0.311505971	0.819882614	0.701935433	0.855500674	0.802270328
EG10457	0.818570756	0.836801206	0.775973908	0.906971388	0.942177493	0.800213813	0.831133379	0.975660606	0.497972988	0.722084209	0.823752387	0.839072184	0.398721506	0.768248593	0.60082553	0.249589149	0.845008329	0.799780163	0.812010297	0.742398693
EG10461	0.340958275	0.437372758	0.555525071	0.559844115	0.350817323	0.542075582	0.25311905	0.316494807	0.458727696	0.568463996	0.469149747	0.072879476	0.232443118	0.145564502	0.149544829	0.156688147	0.414109643	0.231865536	0.213753507	0.252037555
EG10463	0.693397893	0.558340765	0.343650444	0.671289393	0.544540375	0.616955704	0.47861426	0.705984249	0.486958524	0.63030545	0.360458317	0.791314389	0.543530638	0.63344542	0.762842155	0.159305767	0.465325854	0.527907079	0.582446537	0.833699897
EG10466	0.982188133	0.913177772	0.75111956	0.920064208	0.966003222	0.852219731	0.916709943	0.981518097	0.633036406	0.714882609	0.527108015	0.838121407	0.845667743	0.75573647	0.655285984	0.372816602	0.787010035	0.698213789	0.872101865	0.52364208
EG10467	0.734714237	0.512786834	0.304354394	0.570819309	0.659669135	0.532178745	0.559707387	0.719922645	0.161717303	0.303985843	0.202583387	0.417858665	0.385892583	0.342476161	0.309593579	0.097753634	0.329570041	0.396848472	0.428972591	0.263624662
EG10468	0.363737113	0.367963646	0.111701081	0.598224871	0.199188245	0.259056941	0.217432008	0.240617676	0.127970674	0.287435956	0.070980064	0.193420793	0.110363812	0.224705109	0.199802342	0.060088569	0.219158494	0.207140239	0.102451073	0.203610977
EG10469	0.440345995	0.294003008	0.108788731	0.593214391	0.440136104	0.384761527	0.340856888	0.25143077	0.20786767	0.242932505	0.067334961	0.084782887	0.102752357	0.269071587	0.27615688	0.141347996	0.250771936	0.20370922	0.187249973	0.260216362
EG10470	0.222813452	0.152752515	0.071191052	0.336848914	0.179374267	0.104086766	0.196402084	0.091641941	0.097268471	0.065330849	0.070979945	0.08017447	0.160090802	0.33056371	0.19515387	0.091924292	0.320288972	0.172495844	0.115266086	0.191048504
EG10471	0.502677148	0.273150377	0.178481573	0.611330407	0.368487334	0.297007404	0.332093377	0.242737081	0.206838119	0.34784813	0.259758404	0.178975676	0.148290271	0.334592295	0.368315627	0.433607125	0.13529312	0.210416739	0.097488366	0.409125842
EG10472	0.605349517	0.390829198	0.19190684	0.713078992	0.34729993	0.321092387	0.266354644	0.267224805	0.143660132	0.315682529	0.118366615	0.196512914	0.169940968	0.272657414	0.188006814	0.175755627	0.298099506	0.211543747	0.176839462	0.19255742
EG10473	0.417115905	0.158908223	0.115600583	0.58956011	0.396041838	0.328277421	0.269772118	0.278283903	0.217407144	0.269805535	0.090216959	0.092107369	0.131693944	0.335162267	0.168740314	0.101294908	0.208109722	0.136200314	0.124951349	0.18259102
EG10474	0.584891946	0.817802982	0.631820224	0.672131585	0.58459437	0.752901374	0.338353155	0.85884822	0.580235305	0.818874093	0.801283002	0.440145421	0.608368727	0.152894828	0.466307595	0.459206816	0.655333663	0.717805477	0.583153628	0.737874729
EG10475	0.359982615	0.350722787	0.411842584	0.35386884	0.282335518	0.404658748	0.300075221	0.488218019	0.278981801	0.472224459	0.320469694	0.268290338	0.251123617	0.25194601	0.261529652	0.191750973	0.294796625	0.275021636	0.298755336	0.326943394
EG10476	0.270954376	0.332090087	0.301266603	0.372900867	0.21596787	0.318285488	0.277621515	0.371926421	0.19653124	0.377898488	0.559547251	0.313502597	0.387433112	0.201382871	0.351373551	0.231651505	0.368589309	0.428151986	0.34577012	0.467532578
EG10477	0.324269253	0.356237032	0.351019234	0.465897232	0.243506801	0.337950509	0.20327316	0.505028499	0.279097631	0.455729834	0.812413568	0.514205605	0.729365698	0.282554066	0.422214933	0.447046641	0.709399965	0.75842555	0.654430002	0.709430325
EG10478	0.268676966	0.293891388	0.238717565	0.268483228	0.304225231	0.324232172	0.290034724	0.313941469	0.273455255	0.344506995	0.848569534	0.422554072	0.65255666	0.309742467	0.587639995	0.483101573	0.686210643	0.750728521	0.691089346	0.72695035
EG10479	0.370623434	0.417679791	0.338796942	0.417814168	0.262499114	0.381899452	0.330962777	0.53468463	0.289678855	0.41993754	0.114792014	0.005176301	0.160749796	0.099651459	0.077461093	0.134312708	0.108736452	0.101717749	0.14169178	0.176689649
EG10480	0.30227432	0.321728904	0.240355552	0.270350193	0.340810591	0.34382814	0.197488914	0.294462164	0.213291388	0.268562276	0.054652694	0.484996536	0.071795823	0.23091048	0.241264366	0.20019357	0.040911958	0.063909398	0.08304398	0.087259235
EG10481	0.294901022	0.276228874	0.283001034	0.358892074	0.315212434	0.300500772	0.212034507	0.269096427	0.134822179	0.356041438	0.115080766	0.271920065	0.191355026	0.248282342	0.205082181	0.127822176	0.142939147	0.089168414	0.084660937	0.062908201
EG10482	0.593235676	0.903610578	0.483727798	0.736472673	0.540287603	0.862329153	0.386922937	0.93610684	0.23419058	0.834693779	0.96364796	0.058343768	0.692863713	0.001968482	0.151049431	0.076023885	0.976424988	0.996992908	0.722838053	0.671114491
EG10483	0.573589169	0.785149968	0.384253074	0.781986918	0.503321824	0.788717114	0.365239339	0.880258485	0.432600364	0.706989889	0.866469845	0.276874009	0.711699303	0.403525904	0.52822478	0.396975824	0.751510532	0.748951916	0.705064174	0.750864963
EG10484	0.69580892	0.827023676	0.37935084	0.833909876	0.619341108	0.832381738	0.491328909	0.899192294	0.348323986	0.728292812	0.539067686	0.313230486	0.693326402	0.268628952	0.382599062	0.177992507	0.718348224	0.757758803	0.767748477	0.443984758
EG10485	0.620993965	0.79889022	0.458509906	0.799173162	0.596090667	0.85189634	0.533281737	0.90422042	0.486835281	0.767674105	0.36781271	0.273246833	0.36424636	0.455268391	0.332239061	0.354732921	0.161112418	0.304353901	0.306712717	0.443548129
EG10486	0.62041174	0.77710139	0.335566241	0.824122255	0.496297231	0.832335334	0.509770806	0.879812071	0.442231257	0.771239224	0.244206679	0.035488754	0.166575414	0.147801529	0.355525015	0.460309036	0.161993543	0.118100724	0.185518697	0.374554652
EG10487	0.631295315	0.831570113	0.49895664	0.827754744	0.538283444	0.852673283	0.520823573	0.898959358	0.379508176	0.759551933	0.18263122	0.275517564	0.315568151	0.561085652	0.589181967	0.435201768	0.266756192	0.251329212	0.430029701	0.443177055
EG10489	0.26134476	0.061869945	0.993161508	0.129234286	0.371924208	0.09918526	0.334907609	0.148441451	0.097616346	0.209968651	0.129841261	0.587826357	0.245510587	0.251790235	0.247155445	0.388905112	0.21077834	0.545397693	0.167788583	0.176810079
EG10490	0.78925947	0.963061134	0.117542189	0.162208371	0.920578781	0.69734705	0.74503466	0.928648847	0.038116663	0.101495313	0.843688455	0.860438729	0.334179606	0.499500569	0.976316517	0.941786417	0.915929799	0.860399323	0.903517273	0.41475511
EG10491	0.985411939	0.986284592	0.881988651	0.880563718	0.732055454	0.73367837	0.719161197	0.077705692	0.39637344	0.854112752	0.81000263	0.994148502	0.656250384	0.999849367	0.981344425	0.974775144	0.147566676	0.010786524	0.801075696	0.779413858
EG10493	0.446647602	0.713016266	0.482370945	0.630372352	0.476652589	0.409687103	0.457704114	0.224086959	0.215770681	0.473740848	0.181978856	0.243740502	0.136417022	0.180631077	0.489823452	0.392144137	0.450865169	0.354644579	0.348646642	0.246574917
EG10494	0.984802684	0.736358389	0.360409831	0.795009219	0.907006532	0.684893676	0.751962166	0.976811197	0.312267399	0.378773363	0.417308325	0.812068965	0.734627913	0.553572548	0.416332057	0.046757263	0.718675123	0.457777623	0.825370441	0.404064727
EG10496	0.448241891	0.752488626	0.566388604	0.56391137	0.473732439	0.440178899	0.406531994	0.249485339	0.204512723	0.554903769	0.268368879	0.26001758	0.17668285	0.210786078	0.415136619	0.409353532	0.394632542	0.415310162	0.356166394	0.291421932
EG10497	0.540389555	0.756666878	0.453970519	0.611259177	0.55253631	0.55873554	0.504804428	0.319942314	0.363008835	0.56951622	0.232079759	0.396006691	0.269765381	0.197331493	0.566556801	0.432192902	0.434341632	0.462258419	0.405469174	0.242286815
EG10498	0.402603242	0.759356496	0.562847636	0.553852141	0.491101135	0.479517967	0.40295624	0.373200749	0.257345935	0.609153429	0.730916641	0.601053973	0.626220557	0.664996326	0.372100929	0.38948468	0.415712739	0.434816979	0.415813234	0.620032814
EG10499	0.560235738	0.088135468	0.422500816	0.38360863	0.601964189	0.531782853	0.620906243	0.972495912	0.860724663	0.245193775	0.028395898	0.417323728	0.01761618	0.018159025	0.998950074	0.91207045	0.79256041	0.746012784	0.825692142	0.124087696
EG10500	0.622496402	0.06908698	0.403492333	0.37876099	0.676467997	0.674576688	0.708479737	0.980781927	0.892087808	0.421369407	0.956754826	0.744343274	0.97580279	0.987591824	0.001187147	0.128738267	0.336914115	0.357073859	0.289551878	0.881265252
EG10501	0.51154956	0.768151241	0.510148382	0.594708163	0.564955166	0.575855428	0.495024402	0.424234819	0.2143977	0.507100776	0.720878144	0.597184687	0.688026646	0.691422951	0.401801735	0.372645507	0.505192054	0.442305161	0.395422096	0.63946436
EG10502	0.986982314	0.708747201	0.419689261	0.74825734	0.873660874	0.656166256	0.729486859	0.979691681	0.252205766	0.297407529	0.391597962	0.833462658	0.819346497	0.560716319	0.430088652	0.028461484	0.733506698	0.472252042	0.839349333	0.243753041
EG10505	0.956289146	0.907376674	0.879271117	0.936767234	0.955089915	0.9144151	0.935088817	0.944865084	0.729410683	0.882441988	0.834709321	0.828756081	0.817281356	0.778983592	0.769765976	0.549976955	0.859681334	0.822534871	0.888488976	0.764288884
EG10509	0.99730737	0.831949516	0.709289729	0.949935295	0.972250287	0.846006613	0.898737267	0.994017476	0.363972338	0.759805074	0.629359646	0.935558521	0.908852893	0.797524851	0.64211797	0.06633161	0.877112629	0.732957653	0.925469545	0.589418645
EG10510	0.993639191	0.72708815	0.501724921	0.882711794	0.925656831	0.708350009	0.810323596	0.987424398	0.170184877	0.505401192	0.374120323	0.798953297	0.770377642	0.554552119	0.383386848	0.037959592	0.67703397	0.466285983	0.785389351	0.358398087
EG10511	0.996417649	0.854919183	0.689033952	0.938588541	0.970964155	0.849626939	0.898423878	0.994437331	0.421862837	0.693858166	0.46397405	0.892733858	0.908198431	0.773613414	0.550102622	0.031195493	0.863512648	0.703155587	0.936016549	0.534915238
EG10512	0.775583132	0.111151094	0.563743487	0.496906418	0.768182075	0.776812556	0.789654978	0.991075614	0.943586807	0.461914099	0.993593856	0.88209531	0.996840143	0.998435318	4.03E-19	6.46E-05	0.006168813	0.021773873	0.001757767	0.969248046
EG10523	0.559508106	0.428379329	0.149616222	0.651781572	0.789538253	0.361670279	0.400934902	0.945364939	0.037589578	0.116532666	0.125560375	0.846162211	0.561813765	0.95621422	0.65138344	0.066102771	0.213402295	0.750581032	0.852716639	0.909259195
EG10524	0.453715142	0.498702658	0.425681278	0.166187362	0.228965665	0.183132347	0.336645672	0.256379304	0.145201283	0.231696311	0.20498564	0.80735348	0.590675643	0.605972625	0.426232602	0.022214132	0.529123178	0.332599528	0.66123626	0.289218659
EG10525	0.285624703	0.136026544	0.107913653	0.898298012	0.988808852	0.858997003	0.44657587	0.999419019	0.674804892	0.408817303	0.593428683	0.037214589	0.579005967	0.000383	0.017990102	0.062510304	0.941694791	0.992989361	0.504974505	0.392649243
EG10526	0.670706893	0.551174928	0.377186354	0.332905318	0.372694589	0.289130037	0.389775504	0.381314513	0.148652944	0.205549168	0.158802968	0.856282319	0.384886441	0.592802962	0.422926621	0.075664279	0.21881903	0.074391108	0.401898511	0.161847253
EG10527	0.587600537	0.559848886	0.483649278	0.405544897	0.336073868	0.210542093	0.533262996	0.278343295	0.058879666	0.201528411	0.169045947	0.859065935	0.443633791	0.744512779	0.558843602	0.136510696	0.258462418	0.126868881	0.424344545	0.257043479
EG10528	0.84528485	0.594878622	0.499767385	0.674076386	0.807363341	0.602384057	0.66680474	0.893831303	0.346290782	0.430986274	0.557356034	0.679055939	0.655454006	0.589777759	0.374323336	0.100300469	0.533553411	0.416032135	0.592856825	0.535872428
EG10531	0.153927991	0.434634966	0.446277925	0.31703967	0.669884803	0.723589158	0.927866521	0.250889909	0.193534306	0.22605093	0.150800184	0.060932966	0.894837034	0.155955794	0.612480617	0.967736008	0.008558187	0.217355623	0.321678369	0.283670771
EG10536	0.230990285	0.901636839	0.516414908	0.516693259	0.258557324	0.359537102	0.238929322	0.016727748	0.080719269	0.537176014	0.102133271	0.525010237	0.025481892	0.02802014	0.999999999	0.999560901	0.991626407	0.986004718	0.991780932	0.274711993
EG10537	0.341703435	0.93672308	0.694303135	0.672442737	0.41711078	0.558332274	0.352692	0.021422522	0.100963397	0.675626066	0.031350845	0.149358456	0.025849845	0.009838278	0.998411866	0.858916345	0.746014326	0.667281472	0.65538749	0.167504865
EG10538	0.414845943	0.994663732	0.819712435	0.776550085	0.465697156	0.552934717	0.332741261	0.018429198	0.098849585	0.816122707	0.067953309	0.266213534	0.016244939	0.020766064	0.998523403	0.903380924	0.735264693	0.708384368	0.778475215	0.14803138
EG10539	0.262270716	0.911261722	0.536892785	0.596125053	0.205672847	0.300767195	0.247219271	0.006708716	0.069982026	0.453057611	0.946784706	0.760431438	0.975368285	0.984844446	0.002592936	0.147575778	0.339792074	0.284967278	0.248382884	0.886147179
EG10541	0.260722865	0.875275263	0.508358943	0.541237248	0.284441808	0.291170192	0.218673233	0.005567362	0.088637397	0.5648413	0.045521824	0.196729005	0.034540441	0.028502063	0.998746162	0.879668028	0.741697938	0.785818829	0.822665159	0.137576577
EG10542	0.322058692	0.359756801	0.579494257	0.570389972	0.448162158	0.505281566	0.254046193	0.387700953	0.531991999	0.60514135	0.356698518	0.082294457	0.171565087	0.046444978	0.165981957	0.121879849	0.304694863	0.166318706	0.061556831	0.206418356
EG10543	0.299427176	0.21633338	0.373580042	0.199438967	0.164423583	0.106170715	0.191561773	0.156145555	0.1371887	0.144469344	0.06650912	0.450986459	0.215666263	0.144786152	0.056035343	0.15415341	0.204366024	0.109407904	0.18687469	0.081955212
EG10545	0.846069353	0.812479443	0.598015678	0.927464379	0.949058743	0.82195403	0.779637135	0.98807978	0.36740267	0.677452874	0.147969551	0.846613468	0.609137658	0.968053652	0.7552285	0.10575744	0.272753419	0.844051091	0.881617573	0.937238781
EG10547	0.427781798	0.049480927	0.28436594	0.199589957	0.416415092	0.382512471	0.442378681	0.963089764	0.748999988	0.205803658	0.898345298	0.549861368	0.933538357	0.957689014	0.001390099	0.032193193	0.123004145	0.159841808	0.137591523	0.725952708
EG10549	0.069975736	0.265421609	0.509154254	0.044679691	0.563044729	0.194255328	0.010819885	0.600916155	0.000771	0.34387032	0.940344801	0.474905181	0.821189336	0.244941225	0.786012429	0.991411557	0.967792779	0.658745295	0.485960682	0.347795352
EG10551	0.147912969	0.368517017	0.565542044	0.244331817	0.499413211	0.255352906	0.118759157	0.634085794	0.103814779	0.417983356	0.820529177	0.262173589	0.604838239	0.061264962	0.475392577	0.971380818	0.887329422	0.369546438	0.284696777	0.183506615
EG10554	0.759338721	0.393479214	0.288752416	0.550088696	0.782483427	0.49819236	0.539303138	0.775325418	0.36165875	0.335888523	0.40056548	0.644041431	0.680382354	0.629260334	0.357461055	0.096875875	0.601985633	0.392251941	0.580907568	0.410607837
EG10555	0.893732341	0.615911339	0.59283509	0.69177527	0.833976759	0.788259244	0.745812099	0.904227031	0.536848278	0.535065934	0.513300149	0.234655669	0.209388202	0.288930834	0.548087058	0.842056839	0.40276554	0.382097721	0.285546122	0.47864435
EG10556	0.746617516	0.435009937	0.409440537	0.51889545	0.666729774	0.479390488	0.586300035	0.788603231	0.357051516	0.326175954	0.432334051	0.64306504	0.627557804	0.577536397	0.347647838	0.149945165	0.559722242	0.490530188	0.58611251	0.497842103
EG10557	0.045935084	0.756610537	0.988738335	0.635165673	0.320804205	0.885069002	0.72190383	0.118063734	0.9991817	0.99360725	0.554299689	0.146028779	0.101212606	0.395361575	0.588420845	0.938607044	0.165424811	0.495703617	0.12302133	0.57310704
EG10558	0.892592315	0.702925379	0.434038358	0.762071271	0.852729764	0.729903383	0.773395734	0.91920348	0.53781372	0.491642677	0.483449379	0.651636522	0.646097902	0.564658664	0.412878594	0.17872988	0.488724474	0.414074866	0.562969137	0.56345235
EG10559	0.864445095	0.657798296	0.515240561	0.645754227	0.808069149	0.631320822	0.720934888	0.836812658	0.445846514	0.510295948	0.327826862	0.694549011	0.678794033	0.567468768	0.317668267	0.097647932	0.43248124	0.380602984	0.573243445	0.435706208
EG10560	0.829741375	0.579102667	0.441971892	0.614328069	0.76602458	0.724243699	0.685837349	0.883134478	0.403658964	0.436447165	0.527517511	0.737851887	0.759104562	0.64445253	0.383763535	0.223109569	0.599860642	0.568033958	0.622586715	0.523753737
EG10561	0.856907073	0.620190856	0.55190489	0.627581004	0.76813367	0.634575761	0.719920384	0.884493422	0.449352459	0.426748604	0.499692319	0.71538699	0.718235349	0.747357476	0.382873223	0.11135843	0.577795327	0.506492924	0.611057238	0.477145367
EG10562	0.463103649	0.236983685	0.3243706	0.239480564	0.465876632	0.38806363	0.381026166	0.600017265	0.270665052	0.25045142	0.314800225	0.288890392	0.249087771	0.324941763	0.059810062	0.090641952	0.14589188	0.137700438	0.117093265	0.378304619
EG10564	0.951244481	0.409313918	0.189398052	0.446430279	0.622910806	0.253519444	0.366533886	0.895464235	0.073494026	0.185190855	0.223740478	0.618733911	0.618872146	0.338818666	0.1693646	0.010706441	0.55780265	0.356234181	0.703481511	0.138014083
EG10567	0.188794338	0.242151983	0.2670914	0.196623065	0.163835741	0.163199557	0.29039619	0.230145534	0.209177111	0.209083894	0.224387047	0.107792635	0.07599479	0.122242672	0.163689097	0.75519218	0.066043431	0.215346463	0.143293046	0.31740238
EG10568	0.209726992	0.379258702	0.144000178	0.224567785	0.211308498	0.287090884	0.227163923	0.227953502	0.302634906	0.156360524	0.270463895	0.174183269	0.212720535	0.160531126	0.165485534	0.078041117	0.2206482	0.199345368	0.242834343	0.149432428
EG10569	0.105508497	0.10893441	0.100355156	0.125437066	0.102848645	0.187094937	0.069210705	0.131665889	0.101673842	0.141417605	0.094325353	0.203844367	0.178046118	0.117511423	0.12461438	0.089677795	0.104975655	0.054194128	0.156785639	0.119366101
EG10571	0.943915969	0.916940391	0.876566017	0.935077385	0.951402561	0.908650831	0.927759841	0.948582589	0.681154706	0.866344614	0.830647248	0.853689483	0.809812449	0.797912577	0.803088923	0.58941228	0.849441052	0.749264129	0.838037015	0.682669819
EG10576	0.353282285	0.298345613	0.382569467	0.315407778	0.227598405	0.190635463	0.228522739	0.167890941	0.081395428	0.208188664	0.242159353	0.246978001	0.31044008	0.12234235	0.177893816	0.623653149	0.207294916	0.215633052	0.081989871	0.251525525
EG10577	0.994083352	0.855999995	0.591454994	0.882969075	0.955535643	0.802152867	0.838871809	0.989387209	0.434414429	0.605875323	0.507792371	0.887663296	0.852666685	0.743795369	0.593414081	0.140742399	0.843373186	0.71217274	0.903667415	0.540924091
EG10581	0.115525319	0.994397891	0.032827781	0.505661313	0.373989958	0.08507443	0.020698595	0.113596684	0.536252837	0.88925847	0.22550636	0.016025627	0.559988895	0.14535932	0.024288261	0.72854228	0.70010158	0.137204588	0.839443103	0.393952047
EG10587	0.204447291	0.996708093	0.140385259	0.721214935	0.643282709	0.27491218	0.081032143	0.190946553	0.675324664	0.926068058	0.047495867	0.004749576	0.602282735	0.044654985	0.000211	0.789016623	0.668022159	0.044283641	0.850514797	0.39152321
